15.55, 28.65, 3
14.9, 27.55, 3
14.45, 28.35, 3
14.15, 28.8, 3
13.75, 28.05, 3
13.35, 28.45, 3
13.0, 29.15, 3
13.45, 27.5, 3
13.6, 26.5, 3
12.8, 27.35, 3
12.4, 27.85, 3
12.3, 28.4, 3
12.2, 28.65, 3
13.4, 25.1, 3
12.95, 25.95, 3
12.9, 26.5, 3
11.85, 27.0, 3
11.35, 28.0, 3
11.15, 28.7, 3
11.25, 27.4, 3
10.75, 27.7, 3
10.5, 28.35, 3
9.65, 28.45, 3
10.25, 27.25, 3
10.75, 26.55, 3
11.7, 26.35, 3
11.6, 25.9, 3
11.9, 25.05, 3
12.6, 24.05, 3
11.9, 24.5, 3
11.1, 25.2, 3
10.55, 25.15, 3
10.05, 25.95, 3
9.35, 26.6, 3
9.3, 27.25, 3
9.2, 27.8, 3
7.5, 28.25, 3
8.55, 27.45, 3
8.5, 27.05, 3
8.05, 27.2, 3
7.85, 26.8, 3
7.3, 27.4, 3
6.8, 26.85, 3
7.0, 26.5, 3
7.55, 26.3, 3
8.55, 26.3, 3
9.0, 25.85, 3
8.6, 25.65, 3
9.4, 25.55, 3
8.45, 25.05, 3
8.85, 24.6, 3
9.65, 24.7, 3
10.55, 24.35, 3
11.05, 23.9, 3
10.55, 23.55, 3
9.45, 23.35, 3
9.2, 23.9, 3
8.35, 23.9, 3
7.35, 24.75, 3
7.4, 25.45, 3
6.6, 25.75, 3
6.1, 26.0, 3
5.8, 26.95, 3
5.65, 25.8, 3
5.3, 26.1, 3
6.4, 25.4, 3
5.4, 25.25, 3
5.35, 24.7, 3
4.8, 25.05, 3
4.2, 25.55, 3
6.4, 24.8, 3
6.55, 24.3, 3
7.4, 24.25, 3
5.45, 24.2, 3
4.3, 24.0, 3
4.0, 24.25, 3
3.35, 23.3, 3
4.85, 23.05, 3
4.3, 22.75, 3
5.85, 23.4, 3
5.9, 23.55, 3
7.55, 23.7, 3
6.85, 23.25, 3
7.65, 23.1, 3
6.95, 22.55, 3
6.1, 22.6, 3
5.5, 22.6, 3
4.7, 22.1, 3
3.8, 21.85, 3
4.65, 21.2, 3
4.15, 20.35, 3
5.3, 20.4, 3
5.6, 20.75, 3
5.8, 21.95, 3
6.4, 21.95, 3
6.55, 21.15, 3
7.45, 21.95, 3
7.4, 21.55, 3
7.75, 21.2, 3
7.65, 20.65, 3
6.95, 19.8, 3
6.6, 20.1, 3
6.05, 20.2, 3
5.4, 19.65, 3
5.35, 19.05, 3
5.8, 18.25, 3
6.3, 19.1, 3
7.0, 18.9, 3
7.15, 17.9, 3
7.35, 18.2, 3
8.2, 20.05, 3
8.3, 19.45, 3
8.3, 18.5, 3
8.75, 18.8, 3
9.05, 18.2, 3
9.35, 17.7, 3
8.9, 17.65, 3
8.45, 17.2, 3
10.05, 17.2, 3
10.4, 16.75, 3
8.6, 20.9, 3
8.65, 21.3, 3
8.65, 21.9, 3
8.65, 22.5, 3
8.95, 22.8, 3
9.95, 22.65, 3
8.95, 22.2, 3
9.65, 21.9, 3
10.55, 22.3, 3
10.9, 22.85, 3
11.35, 23.45, 3
12.05, 23.4, 3
12.3, 22.75, 3
11.7, 22.15, 3
11.15, 22.05, 3
10.85, 21.5, 3
10.85, 21.05, 3
9.6, 21.3, 3
9.85, 20.7, 3
9.35, 20.6, 3
9.25, 19.65, 3
9.95, 19.8, 3
10.7, 20.35, 3
11.3, 20.7, 3
12.35, 21.6, 3
13.1, 21.3, 3
12.85, 20.75, 3
12.0, 20.0, 3
11.0, 19.85, 3
10.35, 19.0, 3
9.9, 18.65, 3
10.6, 18.15, 3
11.4, 18.3, 3
11.4, 19.25, 3
12.35, 18.8, 3
12.8, 19.75, 3
12.15, 18.1, 3
11.05, 17.5, 3
11.95, 17.25, 3
12.25, 17.5, 3
13.05, 17.4, 3
13.75, 18.15, 3
13.5, 18.65, 3
13.65, 19.25, 3
14.0, 19.9, 3
15.2, 18.2, 3
15.5, 17.15, 3
13.9, 17.1, 3
13.75, 16.6, 3
12.15, 16.4, 3
7.8, 13.7, 2
8.85, 13.35, 2
9.0, 12.7, 2
9.7, 12.1, 2
8.05, 12.9, 2
7.7, 13.25, 2
6.8, 13.2, 2
6.6, 13.45, 2
6.2, 12.55, 2
5.4, 12.85, 2
5.7, 12.25, 2
5.2, 11.9, 2
5.15, 11.35, 2
5.85, 11.2, 2
6.1, 11.75, 2
7.0, 12.35, 2
7.05, 12.45, 2
7.9, 12.5, 2
8.55, 12.1, 2
7.85, 11.85, 2
7.1, 11.95, 2
6.9, 11.5, 2
6.85, 10.9, 2
6.4, 10.7, 2
5.9, 10.3, 2
6.4, 10.25, 2
7.05, 10.05, 2
7.35, 10.5, 2
7.65, 11.1, 2
8.1, 11.2, 2
8.8, 11.4, 2
8.3, 10.55, 2
9.0, 10.9, 2
9.35, 10.5, 2
10.15, 11.0, 2
10.4, 10.55, 2
10.9, 10.0, 5
11.55, 10.2, 5
11.75, 10.85, 5
10.1, 8.65, 5
11.05, 9.1, 5
11.85, 9.8, 5
12.85, 10.65, 5
12.9, 11.7, 5
13.6, 11.1, 5
14.05, 11.75, 5
14.5, 11.8, 5
14.3, 12.45, 5
17.0, 12.9, 5
15.8, 12.6, 5
15.85, 12.0, 5
16.7, 12.2, 5
16.25, 11.7, 5
15.55, 11.15, 5
14.8, 11.35, 5
14.45, 10.75, 5
13.75, 10.45, 5
12.8, 10.1, 5
13.15, 9.8, 5
12.45, 9.3, 5
11.8, 8.95, 5
11.1, 8.45, 5
10.35, 7.7, 5
10.1, 6.75, 5
11.3, 7.95, 5
12.35, 8.45, 5
13.1, 8.95, 5
13.2, 9.35, 5
14.1, 10.05, 5
11.5, 7.5, 5
11.35, 6.9, 5
11.95, 6.75, 5
12.4, 7.1, 5
12.25, 7.6, 5
12.95, 7.6, 5
13.45, 7.95, 5
13.35, 8.25, 5
13.75, 9.0, 5
14.3, 9.3, 5
14.85, 9.55, 5
15.1, 10.25, 5
15.45, 10.55, 5
16.35, 10.85, 5
16.75, 11.5, 5
16.25, 10.2, 5
15.4, 10.1, 5
15.45, 9.7, 5
15.15, 9.3, 5
15.25, 8.65, 5
15.55, 8.2, 5
14.25, 8.7, 5
14.25, 8.25, 5
15.05, 7.8, 5
14.3, 7.5, 5
13.55, 7.45, 5
14.3, 6.95, 5
13.95, 6.7, 5
13.05, 6.95, 5
13.05, 6.2, 5
11.55, 6.3, 5
